id,phase,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,type,form_derived,form_confidence,form_ok_or_fix,comment
A2-0929,P-G,Core patterns,"I don't understand, sorry","Nesuprantu, atsiprašau",,,,SENTENCE (—),,—,,
A2-0914,P-G,Core patterns,I have a brother,Aš turiu brolį,,,,SENTENCE (—),,—,,
A2-0920,P-G,Core patterns,I like this city,Man patinka šis miestas,,,,SENTENCE (—),,—,,
A2-0912,P-G,Core patterns,I live in Vilnius,Aš gyvenu Vilniuje,,,,SENTENCE (—),,—,,
A2-0919,P-G,Core patterns,I need water,Man reikia vandens,,,,SENTENCE (—),,—,,
A2-0916,P-G,Core patterns,I want to eat,Noriu valgyti,,,,SENTENCE (—),,—,,
A2-0917,P-G,Core patterns,I would like coffee,Norėčiau kavos,,,,SENTENCE (—),,—,,
A2-0923,P-G,Core patterns,It is cold today,Šiandien šalta,,,,SENTENCE (—),,—,,
A2-0925,P-G,Core patterns,It is three o'clock,Trečia valanda,,,,SENTENCE (—),,—,,
A2-0910,P-G,Core patterns,My name is Dainius,Mano vardas Dainius,,,,SENTENCE (—),,—,,
A2-0922,P-G,Core patterns,There is a shop here,Čia yra parduotuvė,,,,SENTENCE (—),,—,,
A2-0921,P-G,Core patterns,This is my house,Tai mano namas,,,,SENTENCE (—),,—,,
A2-0926,P-G,Core patterns,Where are you going?,Kur tu eini?,,,,SENTENCE (—),,—,,
A2-0889,P-G,Formulas,Bon appétit,Skanaus,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0888,P-G,Formulas,Cheers!,Į sveikatą!,,,,PHRASE (—),,—,,
A2-0891,P-G,Formulas,Congratulations!,Sveikinu!,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0880,P-G,Formulas,"Excuse me, please…","Atsiprašau, prašau…",,,,PHRASE (—),,—,,
A2-0892,P-G,Formulas,Get well soon,Pasveik greičiau,,,,PHRASE (—),,—,,
A2-0895,P-G,Formulas,Good luck on the trip,Geros kelionės,,,,PHRASE (—),,—,,
A2-0887,P-G,Formulas,Good luck!,Sėkmės!,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0890,P-G,Formulas,Happy birthday!,Su gimtadieniu!,,,,PHRASE (—),,—,,
A2-0894,P-G,Formulas,Have a nice day,Geros dienos,,,,PHRASE (—),,—,,
A2-0885,P-G,Formulas,Here you are,Prašom,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0881,P-G,Formulas,I'm sorry,Man gaila,,,,PHRASE (—),,—,,
A2-0884,P-G,Formulas,Just a moment,Akimirką,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0882,P-G,Formulas,No problem,Nieko tokio,,,,PHRASE (—),,—,,
A2-0883,P-G,Formulas,Of course,Žinoma,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0893,P-G,Formulas,See you tomorrow,Iki rytojaus,,,,PHRASE (—),,—,,
A2-0886,P-G,Formulas,Welcome!,Sveiki atvykę!,,,,PHRASE (—),,—,,
A2-0901,P-G,Getting by,A little,Truputį,,,<-- kirtis.info,PHRASE (—),,—,,
A2-0907,P-G,Getting by,Call a doctor!,Iškvieskite gydytoją!,,,,PHRASE (—),,—,,
A2-0905,P-G,Getting by,How do you say … in Lithuanian?,Kaip lietuviškai …?,,,,PHRASE (—),,—,,
A2-0899,P-G,Getting by,How much is it?,Kiek tai kainuoja?,,,,PHRASE (—),,—,,
A2-0900,P-G,Getting by,I don't speak Lithuanian,Nekalbu lietuviškai,,,,PHRASE (—),,—,,
A2-0906,P-G,Getting by,I need help,Man reikia pagalbos,,,,PHRASE (—),,—,,
A2-0902,P-G,Getting by,Please repeat,"Pakartokite, prašau",,,,PHRASE (—),,—,,
A2-0904,P-G,Getting by,What does it mean?,Ką tai reiškia?,,,,PHRASE (—),,—,,
A2-0896,P-G,Getting by,What is this?,Kas tai?,,,,PHRASE (—),,—,,
A2-0909,P-G,Getting by,Where can I find…?,Kur galiu rasti…?,,,,PHRASE (—),,—,,
A2-0898,P-G,Getting by,Where is the toilet?,Kur yra tualetas?,,,,PHRASE (—),,—,,
A2-0897,P-G,Getting by,Who is that?,Kas tas žmogus?,,,,PHRASE (—),,—,,
A2-0903,P-G,Getting by,"Write it down, please","Užrašykite, prašau",,,,PHRASE (—),,—,,
