#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,card_text,notes,level
226,Home,letter (mail),N,,yes,a sealed envelope letter,laiškas,laíškas,M,,a posted letter,A1
227,Misc,letter (alphabet),N,,yes,one single large letter A shown as an object on a stand,raidė,raidė́,F,,single-glyph exception approved (decision Q2),A2
228,Home,note,N,,yes,a small folded blank paper note passed from one hand to another,raštelis,raštélis,M,,raštelis=small note; užrašas=jotting | SPLIT? raštelis (a note) vs gaida (musical note),A1
229,Home,wall,N,,yes,a plain interior wall of a room,siena,siéna,F,,,A1
230,Home,paper,N,,yes,a stack of blank paper sheets,popierius,pópierius,M,,,A1
231,Home,floor,N,,yes,a room's wooden floorboards with an arrow pointing down at them,grindys,gríndys,F pl,,,A1
232,Home,ceiling,N,,yes,"a plain plastered room ceiling seen from below, its cornice moulding and the corner where two walls meet it clearly visible, one bold arrow pointing up at the flat ceiling surface",lubos,lúbos,F pl,,,A1
233,Home,roof,N,,yes,a house roof with tiles,stogas,stógas,M,,,A1
234,Home,pool,N,,yes,a swimming pool with lanes,baseinas,baseínas,M,,,A1
235,Home,lock,N,,yes,a closed padlock with its key,spyna,spyná,F,,,A1
236,Home,telephone,N,,yes,a rotary desk telephone,telefonas,telefónas,M,,,A1
237,Home,garden,N,,yes,a garden with vegetable beds and fruit trees,sodas,sódas,M,,,A1
238,Home,yard,N,,yes,"a household yard seen from inside the fence, the open swept ground behind a house as the main space, with a woodpile, a wooden bench and laundry drying on a line",kiemas,kiémas,M,,,A1
239,Home,needle,N,,yes,a sewing needle with thread,adata,ádata,F,,,A1
240,Home,bag,N,,yes,a carried shopping bag,krepšys,krepšýs,M,,,A1
241,Home,box,N,,yes,"a cardboard box, one open and one closed",dėžė,dėžė́,F,,,A1
242,Home,gift,N,,yes,a wrapped gift with a ribbon,dovana,dovaná,F,,,A1
243,Home,card,N,,yes,a small blank pocket card (a pass) held in a hand,kortelė,kortélė,F,,,A1
244,Home,ring,N,,yes,a gold ring,žiedas,žiédas,M,,,A1
245,Home,tool,N,,yes,"a set of hand tools — a hammer, a wrench and a screwdriver",įrankis,į́rankis,M,,,A1
246,Electronics,clock,N,,yes,"a wall clock, its face marked only with plain strokes",laikrodis,laíkrodis,M,,,A1
247,Electronics,lamp,N,,yes,"a table lamp, lit",lempa,lémpa,F,,,A1
248,Electronics,fan (electric),N,,yes,an electric table fan,ventiliatorius,ventiliátorius,M,,dual-gender; pl sirgaliai | electric fan; sports fan=sirgalius,A1
249,Electronics,cell phone,N,,yes,"a chunky handheld mobile telephone with a short thick antenna and large buttons, built as if manufactured in 1981",mobilusis telefonas,mobilúsis telefónas,M,,deadpan chunky anachronism (decision Q3),A1
250,Electronics,network,N,,yes,a diagram of linked nodes and cables connecting several computers and telephones,tinklas,,,,LT owner-confirmed 1.7.8,A2
251,Electronics,computer,N,,yes,a desktop computer with monitor and keyboard,kompiuteris,kompiúteris,M,,,A1
252,Electronics,program,N,,yes,a computer with a flowchart on its screen and a reel of punched tape feeding in,programa,,,,LT owner-confirmed 1.7.8,A2
253,Electronics,laptop,N,,yes,"a chunky portable computer, thick-cased, with a small screen and a heavy keyboard, built as if manufactured in 1981",nešiojamasis kompiuteris,nešiójamasis kompiúteris,M,,deadpan chunky anachronism (decision Q3),A1
254,Electronics,screen,N,,yes,a display screen (monitor) showing a plain diagram,ekranas,ekránas,M,,,A1
255,Electronics,camera,N,,yes,a 35mm photo camera,fotoaparatas,fotoaparátas,M,,,A1
256,Electronics,television,N,,yes,a 1970s television set on legs,televizorius,televízorius,M,,,A1
257,Electronics,radio,N,,yes,a tabletop radio receiver,radijas,rádijas,M,,,A1
258,Body,head,N,,yes,a human head in profile,galva,galvá,F,,,A1
259,Body,neck,N,,yes,"a human neck, indicated by an arrow on a figure",kaklas,káklas,M,,,A1
260,Body,face,N,,yes,"a human face, front view",veidas,veídas,M,,,A1
261,Body,beard,N,,yes,a bearded man's face,barzda,barzdá,F,,,A1
262,Body,hair,N,,yes,a head of hair being combed,plaukai,plaukái,M pl,,,A1
263,Body,eye,N,,yes,"a human eye, external close view",akis,akís,F,,,A1
264,Body,mouth,N,disambig,yes,"a slightly open mouth in close view, the whole mouth circled",burna,burná,F,,,A1
265,Body,lip,N,disambig,yes,"closed lips in close view, the upper and lower lip each indicated",lūpa,lū́pa,F,,,A1
266,Body,nose,N,,yes,a human nose in profile,nosis,nósis,F,,,A1
267,Body,tooth,N,,yes,a single tooth beside a smiling mouth showing teeth,dantis,dantís,M,,,A1
268,Body,ear,N,,yes,"a human ear, external side view",ausis,ausís,F,,,A1
269,Body,tear,N,,yes,a tear rolling down a cheek,ašara,ášara,F,,,A1
270,Body,tongue,N,,yes,a tongue shown out of an open mouth,liežuvis,liežúvis,M,,,A1
271,Body,back,N,,yes,"a person's back, seen from behind and indicated",nugara,núgara,F,,nugara=body; 'back' direction=atgal,A1
272,Body,toe,N,,yes,"the toes of a bare foot, one toe indicated",kojos pirštas,kójos pírštas,,,literally 'foot-finger',A1
273,Body,finger,N,,yes,"a hand with one finger extended, pointing",pirštas,pírštas,M,,,A1
274,Body,foot,N,,yes,a bare human foot,pėda,pėdá,F,,,A1
275,Body,hand,N,,yes,"an open human hand, the palm-to-fingers area highlighted",plaštaka,plaštaká,F,,hand=plaštaka; arm=ranka (Lith. 'ranka' colloquially covers both),A1
276,Body,leg,N,,yes,"a human leg, the whole limb indicated",koja,kója,F,,,A1
277,Body,arm,N,,yes,"a human arm, the whole limb from shoulder to hand indicated",ranka,ranká,F,,arm=ranka; hand=plaštaka,A1
278,Body,shoulder,N,,yes,"a person's shoulder, indicated by an arrow",petys,petýs,M,,,A1
279,Body,heart,N,,yes,a hand held over a chest with a simple schematic heart symbol beside it,širdis,širdís,F,,,A1
280,Body,blood,N,,yes,a first-aid scene — a finger with a drop of blood being bandaged,kraujas,kraújas,M,,,A1
281,Body,brain,N,,yes,"a standalone simplified schematic drawing of a brain, textbook-plate style",smegenys,smégenys,F pl,,,A1
282,Body,knee,N,,yes,"a bent knee, indicated on a walking figure",kelis,kélis,M,,knee: dictionaries vary kẽlis/kelỹs — confirm preferred form,A1
283,Body,sweat,N,,yes,"a worker wiping sweat from his brow, drops visible",prakaitas,prákaitas,M,,,A1
284,Body,disease,N,,yes,a person lying ill in bed with a thermometer in their mouth and a flushed feverish face,liga,,,,LT owner-confirmed 1.7.8,A2
285,Body,bone,N,,yes,a single long bone shown as a clean schematic object,kaulas,kaúlas,M,,,A1
286,Body,voice,N,,yes,an open mouth seen in profile with bold sound waves radiating outward from it,balsas,,,,LT owner-confirmed 1.7.8,A2
287,Body,skin,N,,yes,a forearm with a close-up of the skin surface,oda,óda,F,,,A1
288,Body,body,N,,yes,"a full human body standing, front view",kūnas,kū́nas,M,,,A1
289,Nature,sea,N,disambig,yes,a seaside scene with waves and the beach shore in view,jūra,jū́ra,F,,,A1
290,Nature,ocean,N,disambig,yes,"open ocean water to the horizon with a steamship, a small globe inset showing the oceans",vandenynas,vandenýnas,M,,,A1
291,Nature,river,N,,yes,a river winding through a valley,upė,úpė,F,,,A1
292,Nature,mountain,N,,yes,a single mountain peak,kalnas,kálnas,M,,,A1
293,Nature,rain,N,,yes,"rain falling on a street, a figure with an umbrella",lietus,lietús,M,,,A1
294,Nature,snow,N,,yes,"snow falling on a village, with snowdrifts",sniegas,sniégas,M,,,A1
295,Nature,tree,N,,yes,a single deciduous tree (an oak),medis,médis,M,,,A1
296,Nature,sun,N,,yes,the sun with rays above a field,saulė,saúlė,F,,,A1
297,Nature,moon,N,,yes,the crescent moon in a night sky,mėnulis,mėnúlis,M,,,A1
298,Nature,world,N,,yes,"a globe of the Earth showing the continents, on a small desk stand",pasaulis,,,,LT owner-confirmed 1.7.8,A2
299,Nature,Earth,N,,yes,the planet Earth seen from space,Žemė,Žémė,,,,A1
300,Nature,forest,N,,yes,the edge of a pine forest,miškas,míškas,M,,,A1
301,Nature,sky,N,,yes,a wide sky with clouds above a low horizon,dangus,dangús,M,,,A1
302,Nature,plant,N,,yes,a potted plant with visible stem and leaves,augalas,aúgalas,M,,,A1
303,Nature,wind,N,,yes,"wind bending trees, with dashed wind-direction lines and a blowing scarf",vėjas,vė́jas,M,,,A1
304,Nature,soil,N,,yes,dark soil in a furrow with a spade,žemė (dirvožemis),žémė (dírvožemis),F,,same word as 'ground'=žemė; disambiguate,A1
305,Nature,flower,N,,yes,a single flower (a tulip),gėlė,gėlė́,F,,,A1
306,Nature,valley,N,,yes,a river valley between hills,slėnis,slė́nis,M,,,A1
307,Nature,root,N,,yes,a plant's roots exposed below the soil line,šaknis,šaknís,F,,,A1
308,Nature,lake,N,,yes,a calm lake with its shoreline,ežeras,éžeras,M,,,A1
309,Nature,star,N,,yes,"stars in a night sky, one bright star indicated",žvaigždė,žvaigždė́,F,,,A1
310,Nature,grass,N,,yes,a tuft of green grass,žolė,žolė́,F,,,A1
311,Nature,leaf,N,,yes,a single leaf (a birch leaf),lapas,lápas,M,,,A1
312,Nature,air,N,,yes,"a diagram of curved flowing air currents around a breathing figure, wind lines and a fresh open window",oras,,,,LT owner-confirmed 1.7.8,A2
313,Nature,sand,N,,yes,"a handful of sand pouring, dunes behind",smėlis,smė́lis,M,,,A1
314,Nature,beach,N,,yes,"a Lithuanian seaside beach like Palanga or Nida — pale sand dunes with marram grass and the Baltic Sea — with holidaymakers playing on the sand: a beach ball game, children paddling at the water's edge, someone lying on a towel",paplūdimys,paplūdimýs,M,,,A1
315,Nature,wave,N,,yes,a breaking sea wave,banga,bangá,F,,,A1
316,Nature,fire,N,,yes,"a small contained fire with flames, a fire bucket beside it",ugnis,ugnís,F,,,A1
317,Nature,ice,N,,yes,a block of ice and icicles,ledas,lédas,M,,,A1
318,Nature,island,N,,yes,a small island in a lake,sala,salá,F,,,A1
319,Nature,hill,N,,yes,a low grassy hill,kalva,kalvá,F,,,A1
320,Nature,heat,N,,yes,wavy heat-shimmer lines rising off a hot glowing stove and a radiator,karštis,,,,LT owner-confirmed 1.7.8,A2
321,Nature,nature,N,categoryC,category-multi,"a Lithuanian landscape combining forest, river and sky",gamta,gamtá,F,,,A1
322,Materials,glass,N,,yes,a pane of glass held by a glazier,stiklas,stíklas,M,,SPLIT? stiklas (material) vs stiklinė (drinking glass),A1
323,Materials,metal,N,,yes,a metal ingot and a metal sheet,metalas,metálas,M,,,A1
324,Materials,plastic,N,,yes,a plastic sheet and a molded plastic bucket,plastikas,plástikas,M,,,A1
325,Materials,wood,N,,yes,sawn timber planks and a log,mediena,mediéna,F,,mediena=timber/material; medis=tree; miškas=woods — disambiguate,A1
326,Materials,stone,N,,yes,a granite fieldstone,akmuo,akmúo,M,,,A1
327,Materials,diamond,N,,yes,a cut diamond gem,deimantas,deímantas,M,,,A1
328,Materials,clay,N,,yes,a lump of clay being shaped on a potter's wheel,molis,mólis,M,,,A1
329,Materials,dust,N,,yes,dust swirling in a sunbeam above a shelf being wiped,dulkės,dúlkės,F pl,,,A1
330,Materials,gold,N,,yes,a gold bar and a gold ring,auksas,aúksas,M,,,A1
331,Materials,copper,N,,yes,a coil of copper wire and a copper pot,varis,váris,M,,,A1
332,Materials,silver,N,,yes,a silver spoon and a silver ingot,sidabras,sidábras,M,,,A1
333,Materials,material,N,categoryC,category-multi,"a sample board of materials — a wood block, a metal plate, a glass pane and a cloth swatch",medžiaga,medžiagá,F,,,A1
334,Math,meter,N,,yes,a wooden metre-stick fully extended with a bold bracket marking its length; a small Lithuanian tricolor and a small European Union flag side by side,metras,métras,M,"the unit mark ""m"" written once beside the metre-stick, and the number ""100"" with ""cm"" written once beneath it to show that one metre is a hundred centimetres.",,A2
335,Math,centimeter,N,,yes,a ruler with a bold bracket marking one small centimetre division; a small Lithuanian tricolor and a small European Union flag side by side,centimetras,centimétras,M,"the unit mark ""cm"" written once beside the marked centimetre division on the ruler.",,A2
336,Math,kilogram,N,,yes,a balance scale with a one-kilogram weight block on the pan; a small Lithuanian tricolor and a small European Union flag side by side,kilogramas,kilográmas,M,,,A2
337,Math,inch,N,,yes,a ruler with a bold bracket marking one inch division; a small United States flag and a small United Kingdom Union Jack side by side,colis,cólis,M,"the unit mark ""in"" written once beside the marked inch division on the ruler.",,A2
338,Math,foot,N,,yes,a ruler marked to a one-foot length laid beside a shoe; a small United States flag and a small United Kingdom Union Jack side by side,pėda,pėdá,F,,,A2
339,Math,pound,N,,yes,a balance scale with a one-pound weight block on the pan; a small United States flag and a small United Kingdom Union Jack side by side,svaras,sváras,M,,,A2
340,Math,half,N,,yes,"a round loaf cut cleanly into two equal halves, one half marked with a bold arrow",pusė,,,,LT owner-confirmed 1.7.8,A2
341,Math,circle,N,,yes,a single bold clean geometric circle drawn on the cream paper,apskritimas,apskritímas,M,,,A2
342,Math,square,N,,yes,a single bold clean geometric square drawn on the cream paper,kvadratas,kvadrátas,M,,,A2
343,Math,temperature,N,,yes,"a large thermometer with a marked mercury column, a hot sun at the top end and ice at the bottom end",temperatūra,temperatūrá,F,,,A2
344,Math,date,N,,yes,a tear-off wall calendar with one day boldly circled in red,data,,,,LT owner-confirmed 1.7.8,A2
345,Math,weight,N,,yes,"a heavy iron weight sitting on a scale, the pointer swung right over",svoris,,,,LT owner-confirmed 1.7.8,A2
346,Math,edge,N,,yes,a knife lying flat with a bold arrow pointing at its sharp cutting edge,kraštas,kráštas,M,,,A2
347,Math,corner,N,,yes,"the interior corner of a room where two walls and the floor meet, a bold arrow on the corner",kampas,kámpas,M,,,A2
348,Misc,map,N,,yes,"a wall map with roads and rivers, bearing no lettering",žemėlapis,žemė́lapis,M,,,A1
349,Misc,dot,N,,yes,a single bold dot marked on plain paper,taškas,táškas,M,,,A1
350,Misc,consonant,N,,yes,one single large letter B shown as an object on a stand,priebalsis,priébalsis,,"the five consonant letters ""B C D F G"" written once in a single neat row as the subject of the card.",single-glyph exception approved (decision Q2),A2
351,Misc,vowel,N,,yes,one single large letter A shown as an object on a stand,balsis,bálsis,,"the five vowel letters ""A E I O U"" written once in a single neat row as the subject of the card.",single-glyph exception approved (decision Q2),A2
352,Misc,light,N,,yes,a flashlight beam cutting a bright swath through an otherwise dark room,šviesa,,,,LT owner-confirmed 1.7.8,A2
353,Misc,sound,N,,yes,a bell ringing with bold radiating sound waves reaching a listening ear,garsas,,,,LT owner-confirmed 1.7.8,A2
354,Misc,yes,N,,yes,"a person nodding their head in agreement beside a big green tick mark, a small motion arrow on the nod",taip,,,,LT owner-confirmed 1.7.8,A2
355,Misc,no,N,,yes,"a person shaking their head in refusal beside a big bold red X cross-out rejection mark (an X shape, NOT a plus sign and NOT a medical cross), a small motion arrow on the head-shake",ne,,,,LT owner-confirmed 1.7.8,A2
356,Misc,piece,N,,yes,"a bar of chocolate with one piece broken off and set apart, a bold arrow on the single piece",gabalas,,,,LT owner-confirmed 1.7.8,A2
357,Misc,pain,N,,yes,"a person wincing and clutching their arm, a red starburst marking the spot of pain",skausmas,,,,LT owner-confirmed 1.7.8,A2
358,Misc,injury,N,,yes,a bandaged arm in a sling,sužalojimas,sužalójimas,M,,,A1
359,Misc,wound,N,,yes,a cut on a forearm being cleaned and bandaged,žaizda,žaizdá,F,,added per request,A1
360,Misc,hole,N,,yes,a round hole in a wooden board,skylė,skylė́,F,,skylė=hole in an object; duobė=pit in ground (maybe separate card),A1
361,Misc,image,N,,yes,a framed picture hanging on a wall,vaizdas,vaízdas,M,,vaizdas/paveikslas — fairly abstract,A1
362,Misc,"writing, script",N,,yes,a hand with a fountain pen writing lines of running handwriting across a sheet of paper,raštas,,,"the flowing handwritten script on the page itself, drawn as ordinary running handwriting in even lines; the individual words need not be legible. No other lettering, label or caption anywhere.",raštas = writing/script (primary sense); owner-confirmed 1.7.8 (was mis-glossed 'pattern'),A2
363,Verbs,work,V,,yes,"a road-repair gang of workmen labouring together on a street, digging and shovelling",dirbti,dírbti,,,,A1
364,Verbs,play (a game),V,,yes,two children playing with a ball,žaisti,žaísti,V,,games/sport,A1
365,Verbs,play (an instrument),V,,yes,a musician playing an accordion,groti,gróti,V,,musical instrument,A1
366,Verbs,walk,V,,yes,a worker walking forward in mid-stride,eiti,eíti,,,,A1
367,Verbs,run,V,,yes,a worker running at full stride,bėgti,bė́gti,,,,A1
368,Verbs,drive,V,,yes,a driver at the wheel of a truck,vairuoti,vairuóti,,,,A1
369,Verbs,fly,V,,yes,"a bird in level flight, wings mid-beat",skristi,skrísti,,,,A1
370,Verbs,swim,V,,yes,a swimmer mid-stroke in a pool lane,plaukti,plaúkti,,,,A1
371,Verbs,go,V,,yes,a worker setting off through a doorway into the street,eiti,eíti,,,,A1
372,Verbs,stop,V,,yes,a walking worker halted mid-step before a lowered barrier,sustoti,sustóti,,,,A1
373,Verbs,follow,V,,yes,"one worker walking close behind another, following",sekti,sékti,,,,A1
374,Verbs,think,V,,yes,a person with a hand to their chin and a thought-bubble above containing a lightbulb,galvoti,,,,LT owner-confirmed 1.7.8,A2
375,Verbs,say,V,,yes,"a worker speaking to another, mouth open, simple sound lines",sakyti,sakýti,,,depict via speech; kalbėti=speak,A1
376,Verbs,eat,V,,yes,a worker eating with a spoon,valgyti,válgyti,,,,A1
377,Verbs,drink,V,,yes,a worker drinking from a glass,gerti,gérti,,,,A1
378,Verbs,kill,V,,yes,a fly being swatted with a rolled newspaper,žudyti,žudýti,,,,A1
379,Verbs,die,V,,yes,"a plain gravestone with no inscription, wilting flowers laid at its base",mirti,mírti,,,"gravestone staging (decision Q5); routed as phrase-complete card, no motion insets",A1
380,Verbs,smile,V,,yes,"a woman smiling warmly, close portrait view",šypsotis,šypsótis,,,,A1
381,Verbs,laugh,V,,yes,two people laughing together at a canteen table,juoktis,juóktis,,,,A1
382,Verbs,cry,V,,yes,"a person crying, tears on the cheeks, a handkerchief in hand",verkti,vérkti,,,,A1
383,Verbs,buy,V,disambig,yes,a customer receiving wrapped goods across a shop counter,pirkti,pírkti,,,,A1
384,Verbs,pay,V,disambig,yes,a customer handing plain banknotes across a counter to a clerk,mokėti,mokė́ti,,,,A1
385,Verbs,sell,V,disambig,yes,a shopkeeper handing goods to a customer while receiving coins,parduoti,parduóti,,,,A1
386,Verbs,shoot,V,,yes,a marksman firing a rifle at a paper target on a range,šauti,šaúti,,,,A1
387,Verbs,learn,V,,yes,"a student at a desk absorbed in a book, a glowing arrow rising from the book to their head",mokytis,,,,LT owner-confirmed 1.7.8,A2
388,Verbs,jump,V,,yes,a worker jumping over a low obstacle,šokti,šókti,,,,A1
389,Verbs,smell,V,,yes,"a person sniffing a flower, scent lines rising to the nose",uostyti,uóstyti,,,,A1
390,Verbs,hear,V,disambig,yes,"a worker's head turning toward a distant ringing alarm bell, sound waves arriving",girdėti,girdė́ti,,,hear a sound,A1
391,Verbs,listen,V,disambig,yes,"a person seated attentively listening to a radio, ear inclined toward it",klausytis,klausýtis,,,listen to music,A1
392,Verbs,taste,V,,yes,a cook tasting soup from a ladle,ragauti,ragaúti,,,,A1
393,Verbs,touch,V,,yes,"a fingertip touching a smooth surface, the point of contact indicated",liesti,liésti,,,,A1
394,Verbs,see,V,,yes,"a worker seeing a distant water tower, a dotted sight line from eye to object",matyti,matýti,,,,A1
395,Verbs,watch,V,,yes,a person seated deliberately watching a television set,žiūrėti,žiūrė́ti,,,,A1
396,Verbs,kiss,V,,yes,a couple kissing on the cheek,bučiuoti,bučiuóti,,,,A1
397,Verbs,burn,V,,yes,a wooden plank burning with flame at a safe distance,degti,dégti,,,,A1
398,Verbs,melt,V,,yes,a block of ice melting into water,tirpti,tírpti,,,,A1
399,Verbs,dig,V,,yes,a worker digging a trench with a spade,kasti,kásti,,,,A1
400,Verbs,explode,V,,yes,"a small controlled demolition charge exploding at a distance, workers behind a barrier",sprogti,sprógti,,,,A1
401,Verbs,sit,V,,yes,a worker seated on a chair,sėdėti,sėdė́ti,,,,A1
402,Verbs,stand,V,,yes,a worker standing at ease,stovėti,stovė́ti,,,,A1
403,Verbs,love,V,,yes,"two people embracing warmly, a small red heart symbol between them",mylėti,,,,LT owner-confirmed 1.7.8,A2
404,Verbs,pass by,V,,yes,"a worker walking past a kiosk, a dashed path carrying on beyond it",praeiti,praeíti,,,,A1
405,Verbs,cut,V,,yes,a worker sawing a board on a sawhorse,pjauti,pjaúti,,,,A1
406,Verbs,fight,V,,yes,two boxers sparring in a ring,muštis,múštis,,,muštis=brawl; kovoti=struggle/combat,A1
407,Verbs,lie down,V,,yes,"a worker lying on a rest cot, awake with open eyes",gulėti,gulė́ti,,,,A1
408,Verbs,dance,V,,yes,"a couple dancing at a social evening, musical notes above",šokti,šókti,,,,A1
409,Verbs,sleep,V,,yes,a worker asleep on a cot,miegoti,miegóti,,,,A1
410,Verbs,wake up,V,,yes,"a worker sitting up in bed in the morning, sun through the window",pabusti,pabústi,,,,A1
411,Verbs,sing,V,,yes,"a small choir singing, mouths open, notes rising",dainuoti,dainuóti,,,,A1
412,Verbs,count,V,,yes,a clerk counting on an abacus at a stockroom desk,skaičiuoti,skaičiuóti,,,,A1
413,Verbs,marry,V,,yes,a couple exchanging rings before an official at a registry office,tuoktis,tuóktis,,,"tuoktis (reflexive); vesti (man marries), tekėti (woman marries)",A1
414,Verbs,pray,V,,yes,a person kneeling with hands clasped and head bowed in prayer before a simple Christian cross,melstis,,,,LT owner-confirmed 1.7.8,A2
415,Verbs,win,V,,yes,"a runner breasting the finish tape with arms raised in triumph, a bold arrow on the winner",laimėti,,,,LT owner-confirmed 1.7.8,A2
416,Verbs,lose,V,,yes,"a defeated runner trailing behind with head down, a bold arrow on the loser",pralaimėti,,,,LT owner-confirmed 1.7.8,A2
417,Verbs,mix,V,,yes,"a worker mixing mortar in a trough with a shovel, a circular motion arrow",maišyti,maišýti,,,mix/stir,A1
418,Verbs,bend,V,,yes,"a worker bending a metal rod in a vise, a curve arrow",lenkti,lénkti,,,,A1
419,Verbs,wash,V,,yes,a worker washing their hands,plauti,plaúti,,,,A1
420,Verbs,cook,V,,yes,a cook preparing food at a stove,gaminti,gamínti,,,gaminti (make food); virti=to boil,A1
421,Verbs,open,V,,yes,"a hand opening a door, an arc arrow showing the swing",atidaryti,atidarýti,,,,A1
422,Verbs,close,V,,yes,"a hand closing a door, a reverse arc arrow showing the swing",uždaryti,uždarýti,,,,A1
423,Verbs,write,V,,yes,a clerk writing with a pen on paper,rašyti,rašýti,,,,A1
424,Verbs,call,V,,yes,a worker dialing and speaking on a rotary telephone,skambinti,skambínti,,,,A1
425,Verbs,turn,V,,yes,"a worker turning a large pipe-valve wheel, a circular arrow",sukti,súkti,,,sukti/pasukti — confirm sense,A1
426,Verbs,build,V,,yes,a worker hammering a plank,statyti,statýti,,,,A1
427,Verbs,teach,V,,yes,a teacher at a chalkboard pointing to a lesson while pupils watch from their desks,mokyti,mókyti,,,,A2
428,Verbs,grow,V,,yes,"a plant growing in three stages from sprout to full height, an upward arrow",augti,aúgti,,,,A1
429,Verbs,draw,V,,yes,a hand drawing a simple picture with a pencil,piešti,piéšti,,,,A1
430,Verbs,feed,V,,yes,a worker scattering grain to chickens in a yard,maitinti,maitínti,,,,A1
431,Verbs,catch,V,,yes,a worker catching a tossed sack with both arms,gaudyti,gáudyti,,,,A1
432,Verbs,throw,V,,yes,"a worker throwing a sack onto a pile, an arc arrow",mesti,mésti,,,,A1
433,Verbs,clean,V,,yes,"a worker sweeping a corridor floor with a broom, one half already clean",valyti,valýti,,,,A1
434,Verbs,find,V,,yes,a worker finding lost keys beneath a workbench,rasti,rásti,,,,A1
435,Verbs,fall,V,,yes,"a crate tipping and falling from a warehouse shelf, a downward arrow",kristi,krísti,,,,A1
436,Verbs,push,V,,yes,a worker pushing a loaded handcart forward,stumti,stúmti,,,,A1
437,Verbs,pull,V,,yes,a worker pulling a rope-hauled cart toward himself,traukti,traúkti,,,,A1
438,Verbs,carry,V,,yes,a worker carrying a wooden crate with both arms,nešti,néšti,,,,A1
439,Verbs,break,V,,yes,a worker breaking a stick over his knee,laužyti,láužyti,,,,A1
440,Verbs,wear,V,,yes,"a worker wearing full protective work clothing, each item indicated",dėvėti,dėvė́ti,,,,A1
441,Verbs,hang,V,,yes,a worker hanging a framed picture on a wall hook,kabinti,kabínti,,,,A1
442,Verbs,shake,V,,yes,"a worker shaking an apple tree, apples falling, motion lines",purtyti,púrtyti,,,stress: CHECK,A1
443,Verbs,sign,V,,yes,"a hand signing a document with a pen, the signature a plain scribbled line",pasirašyti,pasirašýti,,,verb 'to sign'; ženklas=a sign(noun),A1
444,Verbs,beat,V,,yes,"a person beating a hanging rug with a carpet beater, dust puffing out",mušti,múšti,,,mušti — overlaps 'hit'; confirm vs FF sense,A1
445,Verbs,lift,V,,yes,a worker lifting a crate from the ground,kelti,kélti,,,,A1
446,Adjectives,long,A,,yes,"two anglers on a jetty holding up their catch side by side to compare — one short fish, one much LONGER fish — with a long measuring ruler laid beside them for scale; a bold arrow pointing to the long fish",ilgas/ilga,ílgas/ilgá,M/F,,,A1
447,Adjectives,short-long,A,,yes,a long rope and a short rope laid side by side for comparison; a bold arrow pointing clearly to the SHORT rope,trumpas/trumpa,trúmpas/trumpá,M/F,,,A1
448,Adjectives,tall,A,,yes,"a tall basketball player standing beside a wall height-measuring chart (stadiometer) that shows his great height, next to a short man for contrast; a bold arrow pointing to the TALL basketball player",aukštas/aukšta,aúkštas/aukštá,M/F,,,A1
449,Adjectives,short-tall,A,,yes,"a tall basketball player beside a wall height-measuring chart, next to a short man for contrast; a bold arrow pointing to the SHORT man",žemas/žema,žémas/žemá,M/F,,,A1
450,Adjectives,wide,A,,yes,a wide doorway beside a narrow doorway; across the WIDE doorway a bold double-headed horizontal arrow spans the full opening to mark how wide it is,platus/plati,platús/platí,M/F,,,A1
451,Adjectives,narrow,A,,yes,a wide doorway beside a narrow doorway; across the NARROW doorway a bold double-headed horizontal arrow spans the small opening to mark how narrow it is,siauras/siaura,siaúras/siaurá,M/F,,,A1
452,Adjectives,big,A,,yes,"a big crate beside a small crate, a bold arrow marking the BIG one",didelis/didelė,dídelis/dídelė,M/F,,,A1
453,Adjectives,small,A,,yes,"a big crate beside a small crate, a bold arrow marking the SMALL one",mažas/maža,mážas/mažá,M/F,,,A1
454,Adjectives,slow,A,,yes,"the fable race of the tortoise and the hare along a country path with a few children watching from the roadside, a bold arrow marking the SLOW plodding tortoise",lėtas/lėta,lė́tas/lėtá,M/F,,stress: CHECK,A1
455,Adjectives,fast,A,,yes,"the fable race of the tortoise and the hare along a country path with a few children watching from the roadside, a bold arrow marking the FAST hare bounding ahead",greitas/greita,greítas/greitá,M/F,,,A1
456,Adjectives,hot,A,,yes,a steaming-hot kettle beside a cold block of ice; a bold arrow pointing directly at the HOT steaming kettle,karštas/karšta,kárštas/karštá,M/F,,,A1
457,Adjectives,cold,A,,yes,"a steaming kettle beside a block of ice, a bold arrow marking the COLD ice",šaltas/šalta,šáltas/šaltá,M/F,,,A1
458,Adjectives,warm,A,,yes,"a mug of warm tea with mild steam beside a cool glass of water with condensation, a bold arrow marking the WARM tea",šiltas/šilta,šíltas/šiltá,M/F,,,A1
459,Adjectives,cool,A,,yes,"a mug of warm tea with mild steam beside a cool glass of water with condensation, a bold arrow marking the COOL glass",vėsus/vėsi,vėsús/vėsí,M/F,,,A1
460,Adjectives,new,A,,yes,"a new pair of boots beside an old worn pair, a bold arrow marking the NEW pair",naujas/nauja,naújas/naujá,M/F,,,A1
461,Adjectives,old-new,A,,yes,"a new pair of boots beside an old worn pair, a bold arrow marking the OLD pair",senas/sena,sénas/sená,M/F,,= senas (same word as old-young); tell apart by image: old object vs old person; antonym naujas,A1
462,Adjectives,young,A,,yes,"a young man and an old man side by side, a bold arrow marking the YOUNG man",jaunas/jauna,jaúnas/jauná,M/F,,,A1
